name,type1,type2
Typhlosion,fire,
Totodile,water,
Croconaw,water,
Feraligatr,water,
Sentret,normal,
Furret,normal,
Hoothoot,normal,flying
Noctowl,normal,flying
Ledyba,bug,flying
Ledian,bug,flying
Spinarak,bug,poison
Ariados,bug,poison
Crobat,poison,flying
Chinchou,water,electric
Lanturn,water,electric
Pichu,electric,
Cleffa,fairy,
Igglybuff,normal,fairy
Togepi,fairy,
Togetic,fairy,flying
Natu,psychic,flying
Xatu,psychic,flying
Mareep,electric,
Flaaffy,electric,
Ampharos,electric,
Bellossom,grass,
Marill,water,fairy
Azumarill,water,fairy
Sudowoodo,rock,
Politoed,water,
Hoppip,grass,flying
Skiploom,grass,flying
Jumpluff,grass,flying
Aipom,normal,
Sunkern,grass,
Sunflora,grass,
Yanma,bug,flying
Wooper,water,ground
Quagsire,water,ground
Espeon,psychic,
Umbreon,dark,
Murkrow,dark,flying
Slowking,water,psychic
Misdreavus,ghost,
Unown,psychic,
Wobbuffet,psychic,
Girafarig,normal,psychic
Pineco,bug,
Forretress,bug,steel
Dunsparce,normal,
Gligar,ground,flying
Steelix,steel,ground
Snubbull,fairy,
Granbull,fairy,
Qwilfish,water,poison
Scizor,bug,steel
Shuckle,bug,rock
Heracross,bug,fighting
Sneasel,dark,ice
Teddiursa,normal,
Ursaring,normal,
Slugma,fire,
Magcargo,fire,rock
Swinub,ice,ground
Piloswine,ice,ground
Corsola,water,rock
Remoraid,water,
Octillery,water,
Delibird,ice,flying
Mantine,water,flying
Skarmory,steel,flying
Houndour,dark,fire
Houndoom,dark,fire
Kingdra,water,dragon
Phanpy,ground,
Donphan,ground,
Porygon2,normal,
Stantler,normal,
Smeargle,normal,
Tyrogue,fighting,
Hitmontop,fighting,
Smoochum,ice,psychic
Elekid,electric,
Magby,fire,
Miltank,normal,
Blissey,normal,
Raikou,electric,
Entei,fire,
Suicune,water,
Larvitar,rock,ground
Pupitar,rock,ground
Tyranitar,rock,dark
Lugia,psychic,flying
Ho-Oh,fire,flying
Celebi,psychic,grass
Treecko,grass,
Grovyle,grass,
Sceptile,grass,
Torchic,fire,
Combusken,fire,fighting
Blaziken,fire,fighting
Mudkip,water,
Marshtomp,water,ground
Swampert,water,ground
Poochyena,dark,
Mightyena,dark,
Zigzagoon,normal,
Linoone,normal,
Wurmple,bug,
Silcoon,bug,
Beautifly,bug,flying
Cascoon,bug,
Dustox,bug,poison
Lotad,water,grass
Lombre,water,grass
Ludicolo,water,grass
Seedot,grass,
Nuzleaf,grass,dark
Shiftry,grass,dark
Taillow,normal,flying
Swellow,normal,flying
Wingull,water,flying
Pelipper,water,flying
Ralts,psychic,fairy
Kirlia,psychic,fairy
Gardevoir,psychic,fairy
Surskit,bug,water
Masquerain,bug,flying
Shroomish,grass,
Breloom,grass,fighting
Slakoth,normal,
Vigoroth,normal,
Slaking,normal,
Nincada,bug,ground
Ninjask,bug,flying
Shedinja,bug,ghost
Whismur,normal,
Loudred,normal,
Exploud,normal,
Makuhita,fighting,
Hariyama,fighting,
Azurill,normal,fairy
Nosepass,rock,
Skitty,normal,
Delcatty,normal,
Sableye,dark,ghost
Mawile,steel,fairy
Aron,steel,rock
Lairon,steel,rock
Aggron,steel,rock
Meditite,fighting,psychic
Medicham,fighting,psychic
Electrike,electric,
Manectric,electric,
Plusle,electric,
Minun,electric,
Volbeat,bug,
Illumise,bug,
Roselia,grass,poison
Gulpin,poison,
Swalot,poison,
Carvanha,water,dark
Sharpedo,water,dark
Wailmer,water,
Wailord,water,
Numel,fire,ground
Camerupt,fire,ground
Torkoal,fire,
Spoink,psychic,
Grumpig,psychic,
Spinda,normal,
Trapinch,ground,
Vibrava,ground,dragon
Flygon,ground,dragon
Cacnea,grass,
Cacturne,grass,dark
Swablu,normal,flying
Altaria,dragon,flying
Zangoose,normal,
Seviper,poison,
Lunatone,rock,psychic
Solrock,rock,psychic
Barboach,water,ground
Whiscash,water,ground
Corphish,water,
Crawdaunt,water,dark
Baltoy,ground,psychic
Claydol,ground,psychic
Lileep,rock,grass
Cradily,rock,grass
Anorith,rock,bug
Armaldo,rock,bug
Feebas,water,
Milotic,water,
Castform,normal,
Kecleon,normal,
Shuppet,ghost,
Banette,ghost,
Duskull,ghost,
Dusclops,ghost,
Tropius,grass,flying
Chimecho,psychic,
Absol,dark,
Wynaut,psychic,
Snorunt,ice,
Glalie,ice,
Spheal,ice,water
Sealeo,ice,water
Walrein,ice,water
Clamperl,water,
Huntail,water,
Gorebyss,water,
Relicanth,water,rock
Luvdisc,water,
Bagon,dragon,
Shelgon,dragon,
Salamence,dragon,flying
Beldum,steel,psychic
Metang,steel,psychic
Metagross,steel,psychic
Regirock,rock,
Regice,ice,
Registeel,steel,
Latias,dragon,psychic
Latios,dragon,psychic
Kyogre,water,
Groudon,ground,
Rayquaza,dragon,flying
Jirachi,steel,psychic
Deoxys,psychic,
Turtwig,grass,
Grotle,grass,
Torterra,grass,ground
Chimchar,fire,
Monferno,fire,fighting
Infernape,fire,fighting
Piplup,water,
Prinplup,water,
Empoleon,water,steel
Starly,normal,flying
Staravia,normal,flying
Staraptor,normal,flying
Bidoof,normal,
Bibarel,normal,water
Kricketot,bug,
Kricketune,bug,
Shinx,electric,
Luxio,electric,
Luxray,electric,
Budew,grass,poison
Roserade,grass,poison
Cranidos,rock,
Rampardos,rock,
Shieldon,rock,steel
Bastiodon,rock,steel
Burmy,bug,
Wormadam,bug,grass
Mothim,bug,flying
Combee,bug,flying
Vespiquen,bug,flying
Pachirisu,electric,
Buizel,water,
Floatzel,water,
Cherubi,grass,
Cherrim,grass,
Shellos,water,
Gastrodon,water,ground
Ambipom,normal,
Drifloon,ghost,flying
Drifblim,ghost,flying
Buneary,normal,
Lopunny,normal,
Mismagius,ghost,
Honchkrow,dark,flying
Glameow,normal,
Purugly,normal,
Chingling,psychic,
Stunky,poison,dark
Skuntank,poison,dark
Bronzor,steel,psychic
Bronzong,steel,psychic
Bonsly,rock,
Mime Jr.,psychic,fairy
Happiny,normal,
Chatot,normal,flying
Spiritomb,ghost,dark
Gible,dragon,ground
Gabite,dragon,ground
Garchomp,dragon,ground
Munchlax,normal,
Riolu,fighting,
Lucario,fighting,steel
Hippopotas,ground,
Hippowdon,ground,
Skorupi,poison,bug
Drapion,poison,dark
Croagunk,poison,fighting
Toxicroak,poison,fighting
Carnivine,grass,
Finneon,water,
Lumineon,water,
Mantyke,water,flying
Snover,grass,ice
Abomasnow,grass,ice
Weavile,dark,ice
Magnezone,electric,steel
Lickilicky,normal,
Rhyperior,ground,rock
Tangrowth,grass,
Electivire,electric,
Magmortar,fire,
Togekiss,fairy,flying
Yanmega,bug,flying
Leafeon,grass,
Glaceon,ice,
Gliscor,ground,flying
Mamoswine,ice,ground
Porygon-Z,normal,
Gallade,psychic,fighting
Probopass,rock,steel
Dusknoir,ghost,
Froslass,ice,ghost
Rotom,electric,ghost
Uxie,psychic,
Mesprit,psychic,
Azelf,psychic,
Dialga,steel,dragon
Palkia,water,dragon
Heatran,fire,steel
Regigigas,normal,
Giratina,ghost,dragon
Cresselia,psychic,
Phione,water,
Manaphy,water,
Darkrai,dark,
Shaymin,grass,grass
Arceus,normal,
Victini,psychic,fire
Snivy,grass,
Servine,grass,
Serperior,grass,
Tepig,fire,
Pignite,fire,fighting
Emboar,fire,fighting
Oshawott,water,
Dewott,water,
Samurott,water,
Patrat,normal,
Watchog,normal,
Lillipup,normal,
Herdier,normal,
Stoutland,normal,
Purrloin,dark,
Liepard,dark,
Pansage,grass,
Simisage,grass,
Pansear,fire,
Simisear,fire,
Panpour,water,
Simipour,water,
Munna,psychic,
Musharna,psychic,
Pidove,normal,flying
Tranquill,normal,flying
Unfezant,normal,flying
Blitzle,electric,
Zebstrika,electric,
Roggenrola,rock,
Boldore,rock,
Gigalith,rock,
Woobat,psychic,flying
Swoobat,psychic,flying
Drilbur,ground,
Excadrill,ground,steel
Audino,normal,
Timburr,fighting,
Gurdurr,fighting,
Conkeldurr,fighting,
Tympole,water,
Palpitoad,water,ground
Seismitoad,water,ground
Throh,fighting,
Sawk,fighting,
Sewaddle,bug,grass
Swadloon,bug,grass
Leavanny,bug,grass
Venipede,bug,poison
Whirlipede,bug,poison
Scolipede,bug,poison
Cottonee,grass,fairy
Whimsicott,grass,fairy
Petilil,grass,
Lilligant,grass,
Basculin,water,
Sandile,ground,dark
Krokorok,ground,dark
Krookodile,ground,dark
Darumaka,fire,
Darmanitan,fire,fire
Maractus,grass,
Dwebble,bug,rock
Crustle,bug,rock
Scraggy,dark,fighting
Scrafty,dark,fighting
Sigilyph,psychic,flying
Yamask,ghost,
Cofagrigus,ghost,
Tirtouga,water,rock
Carracosta,water,rock
Archen,rock,flying
Archeops,rock,flying
Trubbish,poison,
Garbodor,poison,
Zorua,dark,
Zoroark,dark,
Minccino,normal,
Cinccino,normal,
Gothita,psychic,
Gothorita,psychic,
Gothitelle,psychic,
Solosis,psychic,
Duosion,psychic,
Reuniclus,psychic,
Ducklett,water,flying
Swanna,water,flying
Vanillite,ice,
Vanillish,ice,
Vanilluxe,ice,
Deerling,normal,grass
Sawsbuck,normal,grass
Emolga,electric,flying
Karrablast,bug,
Escavalier,bug,steel
Foongus,grass,poison
Amoonguss,grass,poison
Frillish,water,ghost
Jellicent,water,ghost
Alomomola,water,
Joltik,bug,electric
Galvantula,bug,electric
Ferroseed,grass,steel
Ferrothorn,grass,steel
Klink,steel,
Klang,steel,
Klinklang,steel,
Tynamo,electric,
Eelektrik,electric,
Eelektross,electric,
Elgyem,psychic,
Beheeyem,psychic,
Litwick,ghost,fire
Lampent,ghost,fire
Chandelure,ghost,fire
Axew,dragon,
Fraxure,dragon,
Haxorus,dragon,
Cubchoo,ice,
Beartic,ice,
Cryogonal,ice,
Shelmet,bug,
Accelgor,bug,
Stunfisk,ground,electric
Mienfoo,fighting,
Mienshao,fighting,
Druddigon,dragon,
Golett,ground,ghost
Golurk,ground,ghost
Pawniard,dark,steel
Bisharp,dark,steel
Bouffalant,normal,
Rufflet,normal,flying
Braviary,normal,flying
Vullaby,dark,flying
Mandibuzz,dark,flying
Heatmor,fire,
Durant,bug,steel
Deino,dark,dragon
Zweilous,dark,dragon
Hydreigon,dark,dragon
Larvesta,bug,fire
Volcarona,bug,fire
Cobalion,steel,fighting
Terrakion,rock,fighting
Virizion,grass,fighting
Tornadus,flying,
Thundurus,electric,flying
Reshiram,dragon,fire
Zekrom,dragon,electric
Landorus,ground,flying
Kyurem,dragon,ice
Keldeo,water,fighting
Meloetta,normal,psychic
Genesect,bug,steel
Chespin,grass,
Quilladin,grass,
Chesnaught,grass,fighting
Fennekin,fire,
Braixen,fire,
Delphox,fire,psychic
Froakie,water,
Frogadier,water,
Greninja,water,dark
Bunnelby,normal,
Diggersby,normal,ground
Fletchling,normal,flying
Fletchinder,fire,flying
Talonflame,fire,flying
Scatterbug,bug,
Spewpa,bug,
Vivillon,bug,flying
Litleo,fire,normal
Pyroar,fire,normal
Flabébé,fairy,
Floette,fairy,
Florges,fairy,
Skiddo,grass,
Gogoat,grass,
Pancham,fighting,
Pangoro,fighting,dark
Furfrou,normal,
Espurr,psychic,
Meowstic,psychic,
Honedge,steel,ghost
Doublade,steel,ghost
Aegislash,steel,ghost
Spritzee,fairy,
Aromatisse,fairy,
Swirlix,fairy,
Slurpuff,fairy,
Inkay,dark,psychic
Malamar,dark,psychic
Binacle,rock,water
Barbaracle,rock,water
Skrelp,poison,water
Dragalge,poison,dragon
Clauncher,water,
Clawitzer,water,
Helioptile,electric,normal
Heliolisk,electric,normal
Tyrunt,rock,dragon
Tyrantrum,rock,dragon
Amaura,rock,ice
Aurorus,rock,ice
Sylveon,fairy,
Hawlucha,fighting,flying
Dedenne,electric,fairy
Carbink,rock,fairy
Goomy,dragon,
Sliggoo,dragon,
Goodra,dragon,
Klefki,steel,fairy
Phantump,ghost,grass
Trevenant,ghost,grass
Pumpkaboo,ghost,grass
Gourgeist,ghost,grass
Bergmite,ice,
Avalugg,ice,
Noibat,flying,dragon
Noivern,flying,dragon
Xerneas,fairy,
Yveltal,dark,flying
Zygarde,dragon,ground
Diancie,rock,fairy
Hoopa,psychic,ghost
Volcanion,fire,water
Rowlet,grass,flying
Dartrix,grass,flying
Decidueye,grass,ghost
Litten,fire,
Torracat,fire,
Incineroar,fire,dark
Popplio,water,
Brionne,water,
Primarina,water,fairy
Pikipek,normal,flying
Trumbeak,normal,flying
Toucannon,normal,flying
Yungoos,normal,
Gumshoos,normal,
Grubbin,bug,
Charjabug,bug,electric
Vikavolt,bug,electric
Crabrawler,fighting,
Crabominable,fighting,ice
Oricorio,fire,flying
Cutiefly,bug,fairy
Ribombee,bug,fairy
Rockruff,rock,
Lycanroc,rock,
Wishiwashi,water,
Mareanie,poison,water
Toxapex,poison,water
Mudbray,ground,
Mudsdale,ground,
Dewpider,water,bug
Araquanid,water,bug
Fomantis,grass,
Lurantis,grass,
Morelull,grass,fairy
Shiinotic,grass,fairy
Salandit,poison,fire
Salazzle,poison,fire
Stufful,normal,fighting
Bewear,normal,fighting
Bounsweet,grass,
Steenee,grass,
Tsareena,grass,
Comfey,fairy,
Oranguru,normal,psychic
Passimian,fighting,
Wimpod,bug,water
Golisopod,bug,water
Sandygast,ghost,ground
Palossand,ghost,ground
Pyukumuku,water,
Type: Null,normal,
Silvally,normal,
Minior,rock,flying
Komala,normal,
Turtonator,fire,dragon
Togedemaru,electric,steel
Mimikyu,ghost,fairy
Bruxish,water,psychic
Drampa,normal,dragon
Dhelmise,ghost,grass
Jangmo-o,dragon,
Hakamo-o,dragon,fighting
Kommo-o,dragon,fighting
Tapu Koko,electric,fairy
Tapu Lele,psychic,fairy
Tapu Bulu,grass,fairy
Tapu Fini,water,fairy
Cosmog,psychic,
Cosmoem,psychic,
Solgaleo,psychic,steel
Lunala,psychic,ghost
Nihilego,rock,poison
Buzzwole,bug,fighting
Pheromosa,bug,fighting
Xurkitree,electric,
Celesteela,steel,flying
Kartana,grass,steel
Guzzlord,dark,dragon
Necrozma,psychic,
Magearna,steel,fairy
